IndexPairs,Estimated_x,Estimated_y,Estimated_z
0,-0.0295323,0.000938,0.2317028
1,-0.0287049,0.0418997,0.2795149
2,-0.0288968,0.0153111,0.252617
3,-0.0295978,-0.0039462,0.2261098
4,-0.0306554,0.0810268,0.3155528
5,-0.0311243,-0.0074625,0.2223647
6,-0.0284548,-0.0066398,0.2266608
7,-0.0314359,0.0056709,0.2381509
8,-0.0297342,0.0528713,0.286292
9,-0.0299918,0.0421329,0.2756012
10,-0.028456,0.0513352,0.286468
11,-0.0294037,0.0328504,0.268975
12,-0.0327918,0.042532,0.2777146
13,-0.0292939,0.0036679,0.2362017
14,-0.0295967,-0.0017269,0.2288411
15,-0.0314416,0.0432898,0.2775134
16,-0.0291405,0.0755699,0.310066
17,-0.0325499,0.0066525,0.2389918
18,-0.0320813,0.0710903,0.3047592
19,-0.0311922,0.0498994,0.2823255
20,-0.0318231,0.0549658,0.2882606
21,-0.0316508,0.0319172,0.2646799
22,-0.0298167,0.0618518,0.2950291
23,-0.0276857,0.0465238,0.2793182
24,-0.0304951,-0.0049478,0.2254069
25,-0.0311268,-0.0097765,0.220078
26,-0.029343,0.0253178,0.2623288
27,-0.0272683,0.0598497,0.2944654
28,-0.0311563,0.0050674,0.2397134
29,-0.0322108,0.0813196,0.3148008
30,-0.0295987,0.0572525,0.2924092
31,-0.0318029,0.0572105,0.2908706
32,-0.0270992,0.0754183,0.3095932
33,-0.0275544,0.0369438,0.2713776
34,-0.0263376,0.0817278,0.3185736
35,-0.0289124,0.0456279,0.2796472
36,-0.0289692,0.082837,0.3159076
37,-0.0293701,0.0051616,0.238457
38,-0.0320079,0.0146168,0.24683
39,-0.0298564,0.0166987,0.2508786
40,-0.029829,0.0012025,0.231921
41,-0.0272853,0.0014596,0.2360035
42,-0.0298309,0.0031534,0.2342557
43,-0.0279647,0.0742441,0.3098311
44,-0.0276078,0.0385611,0.2720255
45,-0.0313972,0.0668472,0.3015801
46,-0.0272978,0.0217693,0.2566925
47,-0.027926,0.0822307,0.3185678
48,-0.0278606,0.0501213,0.2849394
49,-0.0327432,0.0355067,0.2715579
50,-0.0306957,0.078169,0.3119522
51,-0.0307189,-0.0012231,0.2317034
52,-0.0317852,0.0189148,0.250695
53,-0.0294193,0.0720945,0.3058798
54,-0.0272169,0.0446076,0.2798089
55,-0.0291611,0.0452381,0.2791319
56,-0.0273384,0.0692102,0.3026213
57,-0.0275205,0.0059664,0.2406654
58,-0.0286496,0.0392715,0.2764006
59,-0.0312029,-0.0081536,0.2220783
60,-0.0314328,-0.0048054,0.2272158
61,-0.0287313,0.0519155,0.28888
62,-0.0276845,0.0522618,0.2862538
63,-0.031728,0.0254478,0.2572204
64,-0.0274688,0.0560167,0.2906125
65,-0.0304392,0.0443658,0.2772267
66,-0.0313083,0.0847044,0.3193442
67,-0.031991,0.0412352,0.2745515
68,-0.0305307,-0.0008568,0.2287883
69,-0.0299764,0.0059428,0.2381252
70,-0.0293005,0.0383313,0.2759311
71,-0.0316521,0.0267716,0.2605147
72,-0.0282779,0.0384615,0.272446
73,-0.0275165,0.0738723,0.3098304
74,-0.029832,-0.006801,0.2236934
75,-0.0314579,0.0749498,0.3089958
76,-0.0281921,0.0297555,0.2640563
77,-0.0308159,0.0694436,0.302988
78,-0.027447,0.0610151,0.2966216
79,-0.0311386,0.0539837,0.2900299
80,-0.0286755,0.0196373,0.2532288
81,-0.0317125,0.0046761,0.2350517
82,-0.0315295,0.0104509,0.2421112
83,,,
84,-0.0319041,0.0588209,0.2933633
85,-0.0281177,0.064313,0.2982102
86,-0.0302336,-0.0133707,0.2160592
87,-0.0272086,0.0137242,0.2487016
88,-0.0275641,0.054218,0.2901415
89,-0.029394,0.0712562,0.3081203
90,-0.0320097,0.0507103,0.2852084
91,-0.0285889,-0.0105264,0.2203732
92,-0.0312143,0.0758226,0.309433
93,-0.0275306,0.0512831,0.286845
94,-0.0281194,0.0500456,0.283104
95,-0.03146,0.0464937,0.2806265
96,-0.0277243,0.0518859,0.2869687
97,-0.02729,0.0720725,0.3080577
98,-0.0283735,-0.0067205,0.2270667
99,-0.026908,0.0336021,0.2694279
